work_id,section_id,section_title,topic_ids
institutes-1559,inst1559_1_1,The Knowledge of God and of Ourselves Mutually Connected.Nature of the Connection.,""
institutes-1559,inst1559_1_2,"What It Is to Know God, Tendency of This Knowledge.",""
institutes-1559,inst1559_1_3,The Knowledge of God Naturally Implanted in the Human Mind.,""
institutes-1559,inst1559_1_4,"The Knowledge of God Stifled or Corrupted, Ignorantly or Maliciously.",""
institutes-1559,inst1559_1_5,"The Knowledge of God Conspicuous in the Creation, and Continual Government of the World.",""
institutes-1559,inst1559_1_6,"The Need of Scripture, as a Guide and Teacher, in Coming to God as a Creator",""
institutes-1559,inst1559_1_7,The Testimony of the Spirit Necessary to Give Full Authority to Scripture. The Impiety of Pretending That the Credibility of Scripture Depends on the Judgment of the Church.,""
institutes-1559,inst1559_1_8,The Credibility of Scripture Sufficiently Proved in So Far as Natural Reason Admits.,""
institutes-1559,inst1559_1_9,"All the Principles of Piety Subverted by Fanatics, Who Substitute Revelations for Scripture.",""
institutes-1559,inst1559_1_10,"In Scripture, the True God Opposed, Exclusively, to All the Gods of the Heathen.",""
institutes-1559,inst1559_1_11,Impiety of Attributing a Visible Form to God. The Setting up of Idols a Defection from the True God.,""
institutes-1559,inst1559_1_12,"God Distinguished from Idols, That He May Be the Exclusive Object of Worship.",""
institutes-1559,inst1559_1_13,"The Unity of the Divine Essence in Three Persons Taught, in Scripture, from the Foundation of the World.",""
institutes-1559,inst1559_1_14,"In the Creation of the World, and All Things in It, the True God Distinguished by Certain Marks from Fictitious Gods.",""
institutes-1559,inst1559_1_15,"State in Which Man Was Created. The Faculties of the Soul, The Image of God, Free Will, Original Righteousness",""
institutes-1559,inst1559_1_16,"The World, Created by God, Still Cherished and Protected by Him. Each and All of Its Parts Governed by His Providence.",""
institutes-1559,inst1559_1_17,Use to Be Made of the Doctrine of Providence.,""
institutes-1559,inst1559_1_18,"The Instrumentality of the Wicked Employed by God, While He Continues Free from Every Taint",""
institutes-1559,inst1559_2_1,"Through the Fall and Revolt of Adam, the Whole Human Race Made Accursed and Degenerate. Of Original Sin.",""
institutes-1559,inst1559_2_2,"Man Now Deprived of Freedom of Will, and Miserably Enslaved.",""
institutes-1559,inst1559_2_3,Every Thing Proceeding from the Corrupt Nature of Man Damnable.,""
institutes-1559,inst1559_2_4,How God Works in the Hearts of Men.,""
institutes-1559,inst1559_2_5,The Arguments Usually Alleged in Support of Free Will Refuted.,""
institutes-1559,inst1559_2_6,Redemption for Man Lost to Be Sought in Christ.,""
institutes-1559,inst1559_2_7,"The Law Given, Not to Retain a People for Itself, but to Keep Alive the Hope of Salvation in Christ Until His Advent.",""
institutes-1559,inst1559_2_8,Exposition of the Moral Law.,""
institutes-1559,inst1559_2_9,"Christ, Though Known to the Jews Under the Law, Yet Only Manifested Under the Gospel.",""
institutes-1559,inst1559_2_10,The Resemblance Between the Old Testament and the New.,""
institutes-1559,inst1559_2_11,The Difference Between the Two Testaments.,""
institutes-1559,inst1559_2_12,"Christ, to Perform the Office of Mediator, Behoved to Become Man.",""
institutes-1559,inst1559_2_13,Christ Clothed with the True Substance of Human Nature.,""
institutes-1559,inst1559_2_14,How Two Natures Constitute the Person of the Mediator.,""
institutes-1559,inst1559_2_15,"Three Things Briefly to Be Regarded in Christ, Viz. His Offices of Prophet, King, and Priest.",""
institutes-1559,inst1559_2_16,"How Christ Performed the Office of Redeemer in Procuring Our Salvation. The Death, Resurrection, and Ascension of Christ.",""
institutes-1559,inst1559_2_17,Christ Rightly and Properly Said to Have Merited Grace and Salvation for Us.,""
institutes-1559,inst1559_3_1,The Benefits of Christ Made Available to Us by the Secret Operation of the Spirit.,""
institutes-1559,inst1559_3_2,Of Faith. The Definition of It. Its Peculiar Properties.,""
institutes-1559,inst1559_3_3,Regeneration by Faith. Of Repentance.,""
institutes-1559,inst1559_3_4,"Penitence, as Explained in the Sophistical Jargon of the Schoolmen, Widely Different from the Purity Required by the Gospel. Of Confession and Satisfaction.",""
institutes-1559,inst1559_3_5,"Of the Modes of Supplementing Satisfaction, Viz. Indulgences and Purgatory.",""
institutes-1559,inst1559_3_6,The Life of a Christian Man. Scriptural Arguments Exhorting to It.,""
institutes-1559,inst1559_3_7,A Summary of the Christian Life. Of Self-Denial.,""
institutes-1559,inst1559_3_8,"Of Bearing the Cross, One Branch of Self-Denial.",""
institutes-1559,inst1559_3_9,Of Meditating on the Future Life.,""
institutes-1559,inst1559_3_10,"How to Use the Present Life, and the Comforts of It.",""
institutes-1559,inst1559_3_11,Of Justification by Faith. Both the Name and the Reality Defined.,""
institutes-1559,inst1559_3_12,"Necessity of Contemplating the Judgment-Seat of God, in Order to Be Seriously Convinced of the Doctrine of Gratuitous Justification.",""
institutes-1559,inst1559_3_13,Two Things to Be Observed in Gratuitous Justification.,""
institutes-1559,inst1559_3_14,The Beginning of Justification. In What Sense Progressive.,""
institutes-1559,inst1559_3_15,"The Boasted Merit of Works Subversive Both of the Glory of God, in Bestowing Righteousness, and of the Certainty of Salvation.",""
institutes-1559,inst1559_3_16,Refutation of the Calumnies by Which It Is Attempted to Throw Odium on This Doctrine.,""
institutes-1559,inst1559_3_17,The Promises of the Law and the Gospel Reconciled.,""
institutes-1559,inst1559_3_18,The Righteousness of Works Improperly Inferred from Rewards.,""
institutes-1559,inst1559_3_19,Of Christian Liberty.,""
institutes-1559,inst1559_3_20,"Of Prayer, A Perpetual Exercise of Faith. The Daily Benefits Derived from It.",""
institutes-1559,inst1559_3_21,"Of the Eternal Election, by Which God Has Predestinated Some to Salvation, and Others to Destruction.",""
institutes-1559,inst1559_3_22,This Doctrine Confirmed by Proofs from Scripture.,""
institutes-1559,inst1559_3_23,Refutation of the Calumnies by Which This Doctrine Is Always Unjustly Assailed.,""
institutes-1559,inst1559_3_24,Election Confirmed by the Calling of God. The Reprobate Bring Upon Themselves the Righteous Destruction to Which They Are Doomed.,""
institutes-1559,inst1559_3_25,Of the Last Resurrection.,""
institutes-1559,inst1559_4_1,"Of the True Church. Duty of Cultivating Unity with Her, as the Mother of All the Godly.",""
institutes-1559,inst1559_4_2,Comparison Between the False Church and the True.,""
institutes-1559,inst1559_4_3,Of the Teachers and Ministers of the Church. Their Election and Office.,""
institutes-1559,inst1559_4_4,"Of the State of the Primitive Church, and the Mode of Government in Use Before the Papacy.",""
institutes-1559,inst1559_4_5,The Ancient Form of Government Utterly Corrupted by the Tyranny of the Papacy.,""
institutes-1559,inst1559_4_6,Of the Primacy of the Romish See.,""
institutes-1559,inst1559_4_7,"Of the Beginning and Rise of the Romish Papacy, Till It Attained a Height by Which the Liberty of the Church Was Destroyed, and All True Rule Overthrown.",""
institutes-1559,inst1559_4_8,Of the Power of the Church in Articles of Faith. The Unbridled Licence of the Papal Church in Destroying Purity of Doctrine.,""
institutes-1559,inst1559_4_9,Of Councils and Their Authority,""
institutes-1559,inst1559_4_10,"Of the Power of Making Laws. The Cruelty of the Pope and His Adherents, in This Respect, in Tyrannically Oppressing and Destroying Souls.",""
institutes-1559,inst1559_4_11,"Of the Jurisdiction of the Church, and the Abuses of It, as Exemplified in the Papacy.",""
institutes-1559,inst1559_4_12,"Of the Discipline of the Church, and Its Principal Use in Censures and Excommunication.",""
institutes-1559,inst1559_4_13,Of Vows. The Miserable Entanglements Caused by Vowing Rashly.,""
institutes-1559,inst1559_4_14,Of the Sacraments.,""
institutes-1559,inst1559_4_15,Of Baptism.,""
institutes-1559,inst1559_4_16,"PÃ¦dobaptism. Its Accordance with the Institution of Christ, and the Nature of the Sign.",""
institutes-1559,inst1559_4_17,"Of the Lord's Supper, and the Benefits Conferred by It",""
institutes-1559,inst1559_4_18,"Of the Popish Mass. How It Not Only Profanes, but Annihilates the Lord's Supper.",""
institutes-1559,inst1559_4_19,"Of the Five Sacraments, Falsely So Called. Their Spuriousness Proved, and Their True Character Explained.",""
institutes-1559,inst1559_4_20,Of Civil Government.,""
summa,summa_1_1,The Nature and Extent of Sacred Doctrine,""
summa,summa_1_2,The Existence of God,""
summa,summa_1_3,On the Simplicity of God,""
summa,summa_1_4,The Perfection of God,""
summa,summa_1_5,Of Goodness in General,""
summa,summa_1_6,The Goodness of God,""
summa,summa_1_7,The Infinity of God,""
summa,summa_1_8,The Existence of God in Things,""
summa,summa_1_9,The Immutability of God,""
summa,summa_1_10,The Eternity of God,""
summa,summa_1_11,The Unity of God,""
summa,summa_1_12,How God Is Known by Us,""
summa,summa_1_13,The Names of God,""
summa,summa_1_14,Of God's Knowledge,""
summa,summa_1_15,Of Ideas,""
summa,summa_1_16,Of Truth,""
summa,summa_1_17,Concerning Falsity,""
summa,summa_1_18,The Life of God,""
summa,summa_1_19,The Will of God,""
summa,summa_1_20,God's Love,""
summa,summa_1_21,The Justice and Mercy of God,""
summa,summa_1_22,The Providence of God,""
summa,summa_1_23,Of Predestination,""
summa,summa_1_24,The Book of Life,""
summa,summa_1_25,The Power of God,""
summa,summa_1_26,Of the Divine Beatitude,""
summa,summa_1_27,The Procession of the Divine Persons,""
summa,summa_1_28,The Divine Relations,""
summa,summa_1_29,The Divine Persons,""
summa,summa_1_30,The Plurality of Persons in God,""
summa,summa_1_31,Of What Belongs to the Unity or Plurality in God,""
summa,summa_1_32,The Knowledge of the Divine Persons,""
summa,summa_1_33,Of the Person of the Father,""
summa,summa_1_34,Of the Person of the Son,""
summa,summa_1_35,Of the Image,""
summa,summa_1_36,Of the Person of the Holy Ghost,""
summa,summa_1_37,Of the Name of the Holy Ghost---Love,""
summa,summa_1_38,"Of the Name of the Holy Ghost, as Gift",""
summa,summa_1_39,Of the Persons in Relation to the Essence,""
summa,summa_1_40,Of the Persons as Compared to the Relations or Properties,""
summa,summa_1_41,Of the Persons in Reference to the Notional Acts,""
summa,summa_1_42,Of Equality and Likeness among the Divine Persons,""
summa,summa_1_43,The Mission of the Divine Persons,""
summa,summa_1_44,"The Procession of Creatures from God, and of the First Cause of All Things",""
summa,summa_1_45,The Mode of Emanation of Things from the First Principle,""
summa,summa_1_46,Of the Beginning of the Duration of Creatures,""
summa,summa_1_47,Of the Distinction of Things in General,""
summa,summa_1_48,The Distinction of Things in Particular,""
summa,summa_1_49,The Cause of Evil,""
summa,summa_1_50,Of the Substance of the Angels Absolutely Considered,""
summa,summa_1_51,Of the Angels in Comparison with Bodies,""
summa,summa_1_52,Of the Angels in Relation to Place,""
summa,summa_1_53,Of the Local Movement of the Angels,""
summa,summa_1_54,Of the Knowledge of the Angels,""
summa,summa_1_55,Of the Medium of the Angelic Knowledge,""
summa,summa_1_56,Of the Angels' Knowledge of Immaterial Things,""
summa,summa_1_57,Of the Angels' Knowledge of Material Things,""
summa,summa_1_58,Of the Mode of the Angelic Knowledge,""
summa,summa_1_59,The Will of the Angels,""
summa,summa_1_60,Of the Love or Dilection of the Angels,""
summa,summa_1_61,Of the Production of the Angels in the Order of Natural Being,""
summa,summa_1_62,Of the Perfection of the Angels in the Order of Grace and of Glory,""
summa,summa_1_63,The Malice of the Angels with Regard to Sin,""
summa,summa_1_64,The Punishment of the Demons,""
summa,summa_1_65,The Work of Creation of Corporeal Creatures,""
summa,summa_1_66,On the Order of Creation Towards Distinction,""
summa,summa_1_67,On the Work of Distinction in Itself,""
summa,summa_1_68,On the Work of the Second Day,""
summa,summa_1_69,On the Work of the Third Day,""
summa,summa_1_70,"On the Work of Adornment, As Regards the Fourth Day",""
summa,summa_1_71,On the Work of the Fifth Day,""
summa,summa_1_72,On the Work of the Sixth Day,""
summa,summa_1_73,On the Things That Belong to the Seventh Day,""
summa,summa_1_74,On All the Seven Days in Common,""
summa,summa_1_75,Of Man Who Is Composed of a Spiritual and a Corporeal Substance,""
summa,summa_1_76,Of the Union of Body and Soul,""
summa,summa_1_77,Of Those Things Which Belong to the Powers of the Soul in General,""
summa,summa_1_78,Of the Specific Powers of the Soul,""
summa,summa_1_79,Of the Intellectual Powers,""
summa,summa_1_80,Of the Appetitive Powers in General,""
summa,summa_1_81,Of the Power of Sensuality,""
summa,summa_1_82,Of the Will,""
summa,summa_1_83,Of Free-Will,""
summa,summa_1_84,How the Soul While United to the Body Understands Corporeal Things beneath It,""
summa,summa_1_85,Of the Mode and Order of Understanding,""
summa,summa_1_86,What Our Intellect Knows in Material Things,""
summa,summa_1_87,How the Intellectual Soul Knows Itself and All Within Itself,""
summa,summa_1_88,How the Human Soul Knows What Is above Itself,""
summa,summa_1_89,Of the Knowledge of the Separated Soul,""
summa,summa_1_90,Of the First Production of Man's Soul,""
summa,summa_1_91,The Production of the First Man's Body,""
summa,summa_1_92,The Production of the Woman,""
summa,summa_1_93,The End or Term of the Production of Man,""
summa,summa_1_94,Of the State and Condition of the First Man as Regards His Intellect,""
summa,summa_1_95,Of Things Pertaining to the First Man's Will,""
summa,summa_1_96,Of the Mastership Belonging to Man in the State of Innocence,""
summa,summa_1_97,Of the Preservation of the Individual in the Primitive State,""
summa,summa_1_98,Of the Preservation of the Species,""
summa,summa_1_99,Of the Condition of the Offspring As to the Body,""
summa,summa_1_100,Of the Condition of the Offspring As to Righteousness,""
summa,summa_1_101,Of the Condition of the Offspring As Regards Knowledge,""
summa,summa_1_102,"Of Man's Abode, Which Is Paradise",""
summa,summa_1_103,Of the Government of Things in General,""
summa,summa_1_104,The Special Effects of the Divine Government,""
summa,summa_1_105,Of the Change of Creatures by God,""
summa,summa_1_106,How One Creature Moves Another,""
summa,summa_1_107,The Speech of the Angels,""
summa,summa_1_108,Of the Angelic Degrees of Hierarchies and Orders,""
summa,summa_1_109,The Ordering of the Bad Angels,""
summa,summa_1_110,How Angels Act on Bodies,""
summa,summa_1_111,The Action of the Angels on Man,""
summa,summa_1_112,The Mission of the Angels,""
summa,summa_1_113,Of the Guardianship of the Good Angels,""
summa,summa_1_114,Of the Assaults of the Demons,""
summa,summa_1_115,Of the Action of the Corporeal Creature,""
summa,summa_1_116,On Fate,""
summa,summa_1_117,Of Things Pertaining to the Action of Man,""
summa,summa_1_118,Of the Production of Man from Man As to the Soul,""
summa,summa_1_119,Of the Propagation of Man As to the Body,""
